date,code,open,high,low,close,preclose,volume,amount,pctChg
2015-09-21,sh.000905,5966.2940,6251.6180,5943.5900,6250.4390,6036.8810,10543393024,123113394176.0000,3.537600
2015-09-22,sh.000905,6264.0570,6362.0480,6215.5720,6295.9260,6250.4390,11868962560,142488547328.0000,0.727700
2015-09-23,sh.000905,6192.3260,6302.6440,6162.9720,6224.6010,6295.9260,10124732416,121883144192.0000,-1.132900
2015-09-24,sh.000905,6250.0880,6324.3140,6227.3910,6315.1100,6224.6010,9329019136,111994626048.0000,1.454000
2015-09-25,sh.000905,6294.2020,6336.4290,6064.7230,6108.3760,6315.1100,9894203136,115277168640.0000,-3.273600
2015-09-28,sh.000905,6118.2260,6221.0100,6020.4570,6219.6920,6108.3760,6773715712,81183133696.0000,1.822300
2015-09-29,sh.000905,6114.4790,6183.8270,6065.8540,6103.6060,6219.6920,6857949440,81630154752.0000,-1.866400
2015-09-30,sh.000905,6139.1400,6165.7460,6066.8340,6123.7280,6103.6060,5649767168,69580038144.0000,0.329700
2015-10-08,sh.000905,6322.5350,6409.7410,6281.5310,6372.4920,6123.7280,9490732032,117653245952.0000,4.062300
2015-10-09,sh.000905,6369.7520,6495.2930,6353.0420,6470.0510,6372.4920,9971166464,122666455040.0000,1.530900
2015-10-12,sh.000905,6505.9120,6788.3980,6501.7590,6718.7220,6470.0510,15361987584,194872549376.0000,3.843400
2015-10-13,sh.000905,6672.6610,6816.7760,6650.6150,6802.0770,6718.7220,13297752320,167008509952.0000,1.240600
2015-10-14,sh.000905,6772.4580,6842.8740,6709.3450,6724.4960,6802.0770,12588244992,162532618240.0000,-1.140500
2015-10-15,sh.000905,6694.0660,6929.4760,6694.0660,6929.2370,6724.4960,13179506688,176735002624.0000,3.044700
2015-10-16,sh.000905,6979.6770,7052.1410,6883.1990,7047.5600,6929.2370,16450996992,214655811584.0000,1.707600
2015-10-19,sh.000905,7072.3590,7113.6630,6951.7990,7047.3720,7047.5600,15600793088,213219885056.0000,-0.002700
2015-10-20,sh.000905,7033.2050,7163.2610,6996.5630,7162.0750,7047.3720,13806279168,191314747392.0000,1.627600
2015-10-21,sh.000905,7159.1320,7186.5420,6689.2680,6712.7390,7162.0750,17816918016,238182076416.0000,-6.273800
2015-10-22,sh.000905,6708.2140,6970.6760,6700.6190,6964.2970,6712.7390,13547089920,184022577152.0000,3.747500
2015-10-23,sh.000905,7015.6230,7169.3690,6988.5510,7138.2340,6964.2970,15889896192,231325503488.0000,2.497600
2015-10-26,sh.000905,7223.1540,7233.3570,7088.5670,7186.7550,7138.2340,16330471424,236116328448.0000,0.679700
2015-10-27,sh.000905,7123.0830,7266.7770,6900.4380,7231.4360,7186.7550,14744128256,210782330880.0000,0.621700
2015-10-28,sh.000905,7179.9880,7270.7890,7019.6090,7048.8950,7231.4360,13272421888,194118701056.0000,-2.524300
2015-10-29,sh.000905,7097.1880,7185.2080,7011.8630,7108.9750,7048.8950,11074126848,162166874112.0000,0.852300
2015-10-30,sh.000905,7088.8060,7185.5250,6984.5010,7084.9710,7108.9750,11006955264,164366270464.0000,-0.337700
2015-11-02,sh.000905,6936.3690,7137.0520,6914.1470,6936.4320,7084.9710,10720432384,157872558080.0000,-2.096500
2015-11-03,sh.000905,6956.8930,6998.0500,6860.4390,6920.1030,6936.4320,8910533888,131475726336.0000,-0.235400
2015-11-04,sh.000905,6953.8670,7268.3990,6953.8670,7267.9880,6920.1030,13920839680,203475230720.0000,5.027200
