,510300.XSHG,510500.XSHG
2016-12-07,1.3736,1.9241
2016-12-08,1.3715,1.9151
2016-12-09,1.3802,1.9105
2016-12-12,1.3482,1.8328
2016-12-13,1.3465,1.8411
2016-12-14,1.3366,1.8302
2016-12-15,1.3222,1.8417
2016-12-16,1.3241,1.8532
2016-12-19,1.3176,1.8536
2016-12-20,1.31,1.8477
2016-12-21,1.321,1.8615
2016-12-22,1.32,1.8597
2016-12-23,1.3094,1.8426
2016-12-26,1.315,1.8463
2016-12-27,1.3127,1.8448
2016-12-28,1.3072,1.8395
2016-12-29,1.3056,1.8347
2016-12-30,1.3104,1.8377
2017-01-03,1.3224,1.8541
2017-01-04,1.3322,1.8758
2017-01-05,1.332,1.8771
2017-01-06,1.3244,1.869
2017-01-09,1.3304,1.8815
2017-01-10,1.3283,1.8754
2017-01-11,1.3194,1.8574
2017-01-12,1.313,1.8401
2017-01-13,1.3138,1.8173
2017-01-16,1.3135,1.7687
2017-01-17,1.3161,1.7841
2017-01-18,1.321,1.7807
2017-01-19,1.3172,1.7735
2017-01-20,1.3268,1.7966
2017-01-23,1.3301,1.811
2017-01-24,1.3302,1.809
2017-01-25,1.3345,1.8134
2017-01-26,1.3389,1.8262
2017-02-03,1.3301,1.821
2017-02-06,1.3332,1.8361
2017-02-07,1.3304,1.8351
2017-02-08,1.3369,1.8457
2017-02-09,1.3417,1.8573
2017-02-10,1.348,1.859
2017-02-13,1.3565,1.8686
2017-02-14,1.3562,1.87
2017-02-15,1.351,1.8512
2017-02-16,1.358,1.8651
2017-02-17,1.3508,1.8499
2017-02-20,1.3692,1.8727
2017-02-21,1.3734,1.8873
2017-02-22,1.376,1.8988
2017-02-23,1.3698,1.8988
2017-02-24,1.3701,1.8996
2017-02-27,1.3598,1.8843
2017-02-28,1.3622,1.8921
2017-03-01,1.3643,1.8972
2017-03-02,1.3557,1.8877
2017-03-03,1.353,1.893
2017-03-06,1.3599,1.9118
2017-03-07,1.3627,1.9134
2017-03-08,1.3608,1.9059
2017-03-09,1.3527,1.889
2017-03-10,1.3531,1.8917
2017-03-13,1.3642,1.9093
2017-03-14,1.3636,1.9051
2017-03-15,1.3662,1.903
2017-03-16,1.3728,1.92
2017-03-17,1.3596,1.9027
2017-03-20,1.3609,1.9067
2017-03-21,1.3671,1.9117
2017-03-22,1.3612,1.907
2017-03-23,1.3655,1.9107
2017-03-24,1.3757,1.9212
2017-03-27,1.3714,1.9122
2017-03-28,1.3684,1.9072
2017-03-29,1.3669,1.9019
2017-03-30,1.3564,1.8714
2017-03-31,1.3639,1.8788
2017-04-05,1.3816,1.9194
2017-04-06,1.3854,1.925
2017-04-07,1.3868,1.9306
2017-04-10,1.3821,1.927
2017-04-11,1.3866,1.9451
2017-04-12,1.3836,1.93
2017-04-13,1.3855,1.9418
2017-04-14,1.3751,1.9162
2017-04-17,1.3726,1.895
2017-04-18,1.3663,1.884
2017-04-19,1.3601,1.8641
2017-04-20,1.3659,1.8633
2017-04-21,1.3677,1.8496
2017-04-24,1.3546,1.8023
2017-04-25,1.3582,1.8085
2017-04-26,1.3598,1.8131
2017-04-27,1.3604,1.818
2017-04-28,1.3578,1.8237
