open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
3.38,3.4,3.34,3.34,4479468.5,-0.06,-1.76,3.35,3.275,3.214,4031278.65,3569611.33,3115957.68
3.39,3.41,3.4,3.38,3797560.75,0.01,0.29,3.334,3.259,3.205,3837914.7,3393950.4,3017668.38
3.33,3.41,3.39,3.32,4278016.5,0.07,2.11,3.294,3.235,3.192,3746992.15,3268571.3,2951636.5
3.3,3.33,3.32,3.29,3728810.25,0.02,0.61,3.25,3.21,3.179,3317242.5,3066282.28,2957579.78
3.25,3.31,3.3,3.23,3872537.25,0.04,1.23,3.224,3.192,3.168,3289060.45,2947711.95,2869681.68
3.22,3.26,3.26,3.2,3512648.75,0.06,1.88,3.2,3.18,3.159,3107944.0,2845643.13,2884470.62
3.18,3.22,3.2,3.18,3342948.0,0.03,0.95,3.184,3.171,3.15,2949986.1,2883364.18,2948762.06
3.18,3.2,3.17,3.17,2129268.25,-0.02,-0.63,3.176,3.162,3.141,2790150.45,2787246.08,2915702.78
3.17,3.2,3.19,3.15,3587900.0,0.01,0.31,3.17,3.158,3.134,2815322.05,2762047.35,2984706.81
3.2,3.23,3.18,3.17,2966955.0,0.0,0.0,3.16,3.158,3.131,2606363.45,2755087.48,2952959.8
3.16,3.2,3.18,3.16,2722859.25,0.02,0.63,3.16,3.153,3.128,2583342.25,2662304.03,2952182.29
